Fecha_Hora,pm25,calidad_pm25,ozono,calidad_ozono,dviento_ssr,calidad_dviento_ssr,pliquida_ssr,calidad_pliquida_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr,pm25_ref
2017-01-05 12:00:00,33.0,1.0,35.9661,1.0,140.955,1.0,0.0,1.0,22.0465,1.0,0.408725,1.0,27.96017355828131
2017-01-05 13:00:00,18.0,1.0,45.6871,1.0,106.438,1.0,0.0,1.0,23.0464,1.0,0.0696384,1.0,15.199519410641392
2017-01-05 14:00:00,38.0,1.0,60.7415,1.0,29.0153,1.0,0.0,1.0,23.6101,1.0,0.31292,1.0,32.02692294104076
2017-01-05 15:00:00,25.0,1.0,62.7661,1.0,143.642,1.0,0.0,1.0,24.2961,1.0,0.445865,1.0,21.021749501478784
2017-01-05 16:00:00,16.0,1.0,32.0279,1.0,200.572,1.0,39.5,1.0,18.3908,1.0,2.82243,1.0,13.726435335331306
2017-01-05 17:00:00,6.0,1.0,18.2601,1.0,256.337,1.0,2.0,1.0,14.764,1.0,0.541854,1.0,5.212254274033337
2017-01-05 18:00:00,16.0,1.0,9.40639,1.0,236.32,1.0,0.0,1.0,15.1944,1.0,0.279231,1.0,13.878597742181773
2017-01-05 19:00:00,30.0,1.0,1.65569,1.0,266.211,1.0,0.0,1.0,15.1419,1.0,0.241528,1.0,26.027109624898138
2017-01-05 20:00:00,12.0,1.0,3.15042,1.0,288.916,1.0,0.0,1.0,14.8529,1.0,0.376963,1.0,10.421290737378229
2017-01-05 21:00:00,28.0,1.0,0.9125,1.0,212.182,1.0,0.0,1.0,15.1393,1.0,0.181621,1.0,24.29218806566469
2017-01-05 22:00:00,19.0,1.0,0.924167,1.0,271.676,1.0,0.0,1.0,15.111,1.0,0.474038,1.0,16.48560307269376
2017-01-05 23:00:00,25.0,1.0,1.60458,1.0,237.398,1.0,0.0,1.0,15.5119,1.0,0.16835,1.0,21.661457242510384
2017-01-06 00:00:00,14.0,1.0,2.26028,1.0,268.163,1.0,0.0,1.0,15.3449,1.0,0.237182,1.0,12.137437945902729
2017-01-06 01:00:00,12.0,1.0,3.15694,1.0,267.561,1.0,0.0,1.0,15.2801,1.0,0.211851,1.0,10.405855540417134
2017-01-06 02:00:00,15.0,1.0,1.26139,1.0,247.316,1.0,0.0,1.0,14.9914,1.0,0.110345,1.0,13.020351961346359
2017-01-06 03:00:00,22.0,1.0,0.785694,1.0,303.745,1.0,0.0,1.0,14.555,1.0,0.266218,1.0,19.125482406856996
2017-01-06 04:00:00,13.0,1.0,0.773056,1.0,213.144,1.0,0.0,1.0,14.6183,1.0,0.366677,1.0,11.298935463995655
2017-01-06 05:00:00,23.0,1.0,0.590555,1.0,278.571,1.0,0.0,1.0,14.9697,1.0,0.255818,1.0,19.966043321718246
2017-01-06 06:00:00,34.0,1.0,0.798472,1.0,235.141,1.0,0.0,1.0,14.9339,1.0,0.164269,1.0,29.518688375063167
2017-01-06 07:00:00,22.0,1.0,0.846945,1.0,265.778,1.0,0.0,1.0,14.6872,1.0,0.479544,1.0,19.116698313716196
2017-01-06 08:00:00,39.0,1.0,1.43042,1.0,132.865,1.0,0.0,1.0,17.186,1.0,0.165356,1.0,33.59702672369676
2017-01-06 09:00:00,63.0,1.0,7.41778,1.0,156.235,1.0,0.0,1.0,17.7207,1.0,0.38681,1.0,54.17235307326368
2017-01-06 10:00:00,54.0,1.0,22.9382,1.0,106.636,1.0,0.0,1.0,20.7979,1.0,0.502601,1.0,45.94735595486923
2017-01-06 11:00:00,40.0,1.0,42.6047,1.0,127.369,1.0,0.0,1.0,22.857,1.0,0.291735,1.0,33.79832182018295
2017-01-06 12:00:00,25.0,1.0,59.1806,1.0,146.706,1.0,0.0,1.0,24.3525,1.0,0.414263,1.0,21.017764235230995
2017-01-06 13:00:00,34.0,1.0,76.6382,1.0,107.313,1.0,0.0,1.0,25.5622,1.0,0.492488,1.0,28.468401591809304
2017-01-06 14:00:00,36.0,1.0,91.236,1.0,122.095,1.0,0.0,1.0,26.1669,1.0,0.268135,1.0,30.082116520397626
2017-01-06 15:00:00,32.0,1.0,76.6624,1.0,37.1491,1.0,0.0,1.0,25.3917,1.0,0.132359,1.0,26.80909192123417
2017-01-06 16:00:00,20.0,1.0,38.6371,1.0,194.95,1.0,0.0,1.0,23.0426,1.0,1.21589,1.0,16.88857156969299
2017-01-06 17:00:00,20.0,1.0,24.6593,1.0,328.28,1.0,0.0,1.0,21.598,1.0,0.236839,1.0,16.971344753869225
2017-01-06 18:00:00,17.0,1.0,19.1011,1.0,342.923,1.0,0.0,1.0,21.9389,1.0,0.342504,1.0,14.408977887634643
2017-01-06 19:00:00,15.0,1.0,14.1103,1.0,312.296,1.0,0.0,1.0,20.7204,1.0,0.492664,1.0,12.766520352628525
2017-01-06 20:00:00,16.0,1.0,18.4085,1.0,340.892,1.0,0.0,1.0,20.4212,1.0,0.421403,1.0,13.631500429234059
2017-01-06 21:00:00,20.0,1.0,18.2315,1.0,340.673,1.0,0.0,1.0,19.8375,1.0,0.360945,1.0,17.073321979652533
2017-01-06 22:00:00,16.0,1.0,12.4725,1.0,298.773,1.0,0.0,1.0,19.2658,1.0,0.253267,1.0,13.685361525645186
2017-01-06 23:00:00,22.0,1.0,2.01472,1.0,204.53,1.0,0.0,1.0,18.6133,1.0,0.291187,1.0,18.859455304573235
2017-01-07 00:00:00,27.0,1.0,1.88917,1.0,227.988,1.0,0.0,1.0,17.7164,1.0,0.315122,1.0,23.217065968235428
2017-01-07 01:00:00,20.0,1.0,3.72222,1.0,240.306,1.0,0.0,1.0,17.1503,1.0,0.332322,1.0,17.231363259057762
2017-01-07 02:00:00,23.0,1.0,4.71986,1.0,269.555,1.0,0.0,1.0,17.1335,1.0,0.217195,1.0,19.81721459208141
2017-01-07 03:00:00,,1.0,3.71917,1.0,258.716,1.0,0.0,1.0,16.6746,1.0,0.333056,1.0,
2017-01-07 04:00:00,,151.0,5.96972,1.0,282.535,1.0,0.0,1.0,16.1811,1.0,0.216447,1.0,
2017-01-07 05:00:00,,1.0,4.19333,1.0,248.771,1.0,0.0,1.0,16.0271,1.0,0.244864,1.0,
2017-01-07 06:00:00,24.0,1.0,1.71875,1.0,263.688,1.0,0.0,1.0,15.8243,1.0,0.256394,1.0,20.772518207384312
